SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
6	0	3	12	V	440.0	49.0	0.773
6	1	0	16	V	285.2	41.8	1.192
6	1	1	16	V	284.0	42.3	1.197
6	1	2	16	V	292.2	44.4	1.163
6	1	3	16	V	298.2	44.9	1.140
6	2	0	23	V	383.2	55.9	0.887
6	2	1	23	V	384.3	53.0	0.885
6	2	2	23	V	385.0	51.6	0.883
6	2	3	23	V	398.5	56.9	0.853
6	3	0	31	V	454.3	62.3	0.748
6	3	1	31	V	457.8	61.0	0.743
6	3	2	31	V	445.9	65.3	0.762
6	3	3	31	V	481.9	64.3	0.705
6	4	0	12	H	355.9	49.6	0.955
6	4	1	12	H	360.3	56.2	0.943
6	4	2	12	H	363.6	54.5	0.935
6	4	3	12	H	377.0	52.7	0.902
6	5	0	16	H	310.8	42.9	1.094
6	5	1	16	H	321.1	46.5	1.059
6	5	2	16	H	316.9	45.7	1.073
6	5	3	16	H	336.4	47.4	1.010
6	6	0	23	H	403.5	58.6	0.842
6	6	1	23	H	405.1	54.8	0.839
6	6	2	23	H	400.9	55.8	0.848
6	6	3	23	H	435.2	55.6	0.781
6	7	0	31	H	352.2	46.0	0.965
6	7	1	31	H	366.0	48.1	0.929
6	7	2	31	H	359.4	50.0	0.946
6	7	3	31	H	384.3	52.4	0.885
7	0	0	4	V	363.8	159.7	0.934
7	0	1	4	V	345.0	169.5	0.985
7	0	2	4	V	343.9	80.0	0.988
7	0	3	4	V	351.4	154.7	0.967
7	1	0	8	V	351.9	51.0	0.966
7	1	1	8	V	345.1	47.9	0.985
7	1	2	8	V	360.9	50.8	0.942
7	1	3	8	V	353.1	48.1	0.963
7	2	0	24	V	380.3	52.3	0.894
7	2	1	24	V	367.5	59.8	0.925
7	2	2	24	V	381.1	58.1	0.892
7	2	3	24	V	374.7	57.1	0.907
7	3	0	32	V	419.8	60.1	0.810
7	3	1	32	V	405.9	54.2	0.837
7	3	2	32	V	422.0	56.1	0.806
7	3	3	32	V	422.4	62.4	0.805
7	4	0	4	H	341.3	44.7	0.996
7	4	1	4	H	327.6	46.7	1.038
7	4	2	4	H	340.7	49.1	0.998
7	4	3	4	H	344.6	48.2	0.987
7	5	0	8	H	279.8	40.3	1.215
7	5	1	8	H	273.5	39.0	1.243
7	5	2	8	H	283.3	36.7	1.200
7	5	3	8	H	275.9	42.5	1.232
7	6	0	24	H	393.5	53.8	0.864
7	6	1	24	H	386.0	52.0	0.881
7	6	2	24	H	415.6	56.7	0.818
7	6	3	24	H	410.6	58.3	0.828
7	7	0	32	H	399.6	54.6	0.851
7	7	1	32	H	393.8	56.9	0.863
7	7	2	32	H	410.0	56.4	0.829
7	7	3	32	H	414.3	58.8	0.820
