SURF	Chan	Chip	Ant	Pol	Peak	RMS	mv/count
6	1	3	1	V	388.581	24.6842	0.909119
6	1	4	1	V	384.502	26.0645	0.918763
6	2	1	5	V	351.708	20.1006	1.00443
6	2	2	5	V	338.177	21.4153	1.04462
6	2	3	5	V	351.855	20.306	1.00401
6	2	4	5	V	354.186	20.6615	0.997402
6	3	1	18	V	333.654	19.5194	1.05878
6	3	2	18	V	320.298	17.9854	1.10293
6	3	3	18	V	332.532	21.221	1.06235
6	3	4	18	V	331.555	18.8447	1.06548
6	4	1	26	V	331.814	20.3062	1.06465
6	4	2	26	V	316.393	17.9433	1.11654
6	4	3	26	V	333.048	18.4841	1.06071
6	4	4	26	V	342.221	22.8199	1.03228
6	5	1	0	H	569.034	27.6354	0.968158
6	5	2	0	H	561.202	27.4988	0.98167
6	5	3	0	H	574.565	29.2549	0.958838
6	5	4	0	H	583.579	30.592	0.944028
6	6	1	4	H	522.141	24.8443	1.05511
6	6	2	4	H	517.715	23.7915	1.06413
6	6	3	4	H	528.439	24.7707	1.04253
6	6	4	4	H	523.588	22.9921	1.05219
6	7	1	17	H	565.028	33.591	0.975021
6	7	2	17	H	558.321	24.7946	0.986735
6	7	3	17	H	582.791	26.6671	0.945304
6	7	4	17	H	594.227	26.6858	0.927111
6	8	1	25	H	535.165	23.0764	1.02943
6	8	2	25	H	529.571	22.7865	1.0403
6	8	3	25	H	546.537	25.6175	1.00801
6	8	4	25	H	551.323	26.4973	0.999259
7	1	1	3	V	355.147	22.6551	0.994472
7	1	2	3	V	388.226	25.5118	0.909736
7	1	3	3	V	382.516	26.8681	0.923316
7	1	4	3	V	398.534	25.8549	0.886205
7	2	1	7	V	335.914	20.7877	1.05141
7	2	2	7	V	366.016	22.1549	0.964939
7	2	3	7	V	362.194	23.9494	0.975123
7	2	4	7	V	382.097	23.4441	0.924328
7	3	1	22	V	294.165	16.1526	1.20063
7	3	2	22	V	328.629	15.2154	1.07472
7	3	3	22	V	323.177	15.8999	1.09285
7	3	4	22	V	341.733	16.4514	1.03351
7	4	1	30	V	311.908	23.563	1.13233
7	4	2	30	V	355.487	24.2979	0.993519
7	4	3	30	V	345.804	25.5959	1.02134
7	4	4	30	V	371.807	28.018	0.949909
7	5	1	2	H	523.521	28.8395	1.05208
7	5	2	2	H	579.115	27.9799	0.951081
7	5	3	2	H	572.116	30.9039	0.962716
7	5	4	2	H	609.065	30.4257	0.904313
7	6	1	6	H	476.346	21.1369	1.15627
7	6	2	6	H	528.664	22.0366	1.04184
7	6	3	6	H	517.946	23.2649	1.0634
7	6	4	6	H	566.024	25.6852	0.973078
7	7	1	21	H	528.819	33.7716	1.04154
7	7	2	21	H	586.967	27.8653	0.938359
7	7	3	21	H	575.783	28.3865	0.956585
7	7	4	21	H	621.355	31.0356	0.886427
7	8	1	29	H	479.953	21.5262	1.14758
7	8	2	29	H	538.597	21.3621	1.02263
7	8	3	29	H	523.206	21.9408	1.05271
7	8	4	29	H	566.11	24.2345	0.972929
8	1	1	2	V	373.655	25.5906	0.944948
8	1	2	2	V	395.726	26.0023	0.892246
8	1	3	2	V	396.798	26.2167	0.889834
8	1	4	2	V	406.462	24.63	0.868679
8	2	1	6	V	346.412	24.1356	1.01926
8	2	2	6	V	364.218	22.0132	0.969433
8	2	3	6	V	372.968	23.4802	0.94669
8	2	4	6	V	379.255	26.5213	0.930996
8	3	1	20	V	312.364	21.0044	1.13036
8	3	2	20	V	332.637	26.5123	1.06147
8	3	3	20	V	337.315	21.6474	1.04675
8	3	4	20	V	339.741	22.8878	1.03928
8	4	1	28	V	314.363	19.7077	1.12318
8	4	2	28	V	336.631	20.0794	1.04888
8	4	3	28	V	333.06	18.7799	1.06012
8	4	4	28	V	343.005	20.9372	1.02939
8	5	1	1	H	535.398	27.4071	1.02845
8	5	2	1	H	569.362	29.2424	0.967103
8	5	3	1	H	565.204	29.6678	0.974217
8	5	4	1	H	591.125	29.2458	0.931498
8	6	1	5	H	476.834	21.2888	1.15477
8	6	2	5	H	513.595	22.853	1.07211
8	6	3	5	H	513.968	21.0666	1.07134
8	6	4	5	H	529.65	21.5755	1.03961
8	7	1	19	H	536.381	34.6425	1.02657
8	7	2	19	H	577.145	29.2136	0.954061
8	7	3	19	H	572.446	26.7839	0.961894
8	7	4	19	H	600.758	27.1347	0.916562
8	8	1	27	H	501.648	25.3463	1.09765
8	8	2	27	H	541.369	24.729	1.01711
8	8	3	27	H	537.529	24.8484	1.02438
8	8	4	27	H	565.167	27.5175	0.974282
9	1	1	33	V	361.741	22.6191	0.978367
9	1	2	33	V	385.202	23.3837	0.918781
9	1	3	33	V	356.435	23.6828	0.992931
9	1	4	33	V	398.413	24.7254	0.888314
9	2	1	35	V	339.948	21.5302	1.04109
9	2	2	35	V	364.532	23.3523	0.970877
9	2	3	35	V	341.331	21.2752	1.03687
9	2	4	35	V	382.567	23.3155	0.925109
9	3	1	37	V	318.165	21.7476	1.11237
9	3	2	37	V	342.444	19.6587	1.0335
9	3	3	37	V	321.879	20.8002	1.09953
9	3	4	37	V	358.899	22.3201	0.986116
9	4	1	39	V	318.749	22.8972	1.11033
9	4	2	39	V	347.052	24.2526	1.01978
9	4	3	39	V	324.944	22.7976	1.08916
9	4	4	39	V	361.517	24.327	0.978976
9	5	1	33	H	527.679	25.0467	1.04595
9	5	2	33	H	576.564	27.6648	0.957272
9	5	3	33	H	545.455	27.8365	1.01187
9	5	4	33	H	607.021	28.7559	0.909241
9	6	1	35	H	488.653	21.0543	1.12949
9	6	2	35	H	540.502	24.7837	1.02114
9	6	3	35	H	499.196	22.282	1.10564
9	6	4	35	H	560.991	23.8493	0.983845
9	7	1	37	H	535.691	33.2112	1.03031
9	7	2	37	H	589.482	27.4051	0.936293
9	7	3	37	H	549.45	27.0809	1.00451
9	7	4	37	H	617.922	27.4883	0.893201
9	8	1	39	H	488.902	21.5716	1.12891
9	8	2	39	H	543.475	25.1305	1.01555
9	8	3	39	H	500.118	23.692	1.1036
9	8	4	39	H	568.685	23.2084	0.970534
10	1	1	34	V	350.948	24.7211	1.00682
10	1	2	34	V	376.065	25.027	0.939578
10	1	3	34	V	370.468	27.2552	0.953773
